rank,word,count
1587,internationally,1
1588,intervention,1
1589,interview,1
1590,intrinsic,1
1591,intrinsically,1
1592,intrude,1
1593,invasive,1
1594,involvement,1
1595,iphone,1
1596,isn,1
1597,isolation,1
1598,issuehow,1
1599,iterate,1
1600,jan,1
1601,jog,1
1602,join,1
1603,jointly,1
1604,journal,1
1605,journalistic,1
1606,july,1
1607,jump,1
1608,jumpstart,1
1609,jurisdiction,1
1610,justify,1
1611,keen,1
1612,kevin,1
1613,keynes,1
1614,kick,1
1615,king,1
1616,kingdom,1
1617,kitemarked,1
1618,labbased,1
1619,labellingwhere,1
1620,laboratory,1
1621,land,1
1622,landmark,1
1623,latin,1
1624,launch,1
1625,lawyer,1
1626,leave,1
1627,legalistic,1
1628,legitimate,1
1629,legitimately,1
1630,leisure,1
1631,letter,1
1632,lever,1
1633,liberal,1
1634,library,1
1635,liesbet,1
1636,lighttouch,1
1637,lighttype,1
1638,lightweight,1
1639,likely,1
1640,likewise,1
1641,log,1
1642,login,1
1643,logistic,1
1644,longerterm,1
1645,loss,1
1646,loughborough,1
1647,lse,1
1648,luxury,1
1649,macnish,1
1650,maintain,1
1651,major,1
1652,malice,1
1653,manage,1
1654,manager,1
1655,manchester,1
1656,marathon,1
1657,mathematician,1
1658,mathieu,1
1659,mcpherson,1
1660,measure,1
1661,medicine,1
1662,medicworking,1
1663,mentality,1
1664,methodological,1
1665,methodology,1
1666,mexico,1
1667,microsoft,1
1668,migrate,1
1669,mile,1
1670,milieu,1
1671,mill,1
1672,millennium,1
1673,milton,1
1674,mindset,1
1675,minefield,1
1676,minister,1
1677,misguide,1
1678,misguidedly,1
1679,misinterpretation,1
1680,mixture,1
1681,modern,1
1682,modus,1
1683,money,1
1684,monolithic,1
1685,morph,1
1686,mostly,1
1687,motive,1
1688,muddy,1
1689,multiple,1
1690,multiply,1
1691,music,1
1692,mydata,1
1693,myth,1
1694,naively,1
1695,name,1
1696,nation,1
1697,navigate,1
1698,newness,1
1699,news,1
1700,next,1
1701,nhs,1
1702,nigel,1
1703,night,1
1704,nobody,1
1705,nod,1
1706,noise,1
1707,noisy,1
1708,nonprescription,1
1709,normal,1
1710,note,1
1711,obey,1
1712,object,1
1713,obscure,1
1714,obscurity,1
1715,observation,1
1716,observational,1
1717,observe,1
1718,obstacle,1
1719,occasionally,1
1720,office,1
1721,okay,1
1722,olympic,1
1723,ombudsman,1
1724,ons,1
1725,openly,1
1726,operandi,1
1727,operation,1
1728,operational,1
1729,operator,1
1730,opinionsharing,1
1731,originally,1
1732,outcome,1
1733,outlier,1
1734,outlying,1
1735,output,1
1736,overall,1
1737,overcounter,1
1738,overlap,1
1739,overshoot,1
1740,own,1
1741,painful,1
1742,panacea,1
1743,panopticon,1
1744,parcel,1
1745,parent,1
1746,parliament,1
1747,participant,1
1748,participate,1
1749,particle,1
1750,partner,1
1751,path,1
1752,pathway,1
1753,patrol,1
1754,pay,1
1755,payment,1
1756,pedigree,1
1757,permissioned,1
1758,perpetrator,1
1759,pertinent,1
1760,pervasive,1
1761,pharmaceutical,1
1762,phenomenon,1
1763,photography,1
1764,physic,1
1765,physically,1
1766,physicist,1
1767,pipe,1
1768,planet,1
1769,plug,1
1770,politician,1
1771,poor,1
1772,pore,1
1773,posterioriafter,1
1774,postsnowden,1
